,Suicide Mortality Rate,Vacant Housing Units
0,7.4,13.8297141729273
1,8.9,8.67433597436449
2,15.5,7.26486363440337
3,7.3,7.15623295558446
4,4.9,5.7675729922983
5,6.6,8.62086113613871
6,9.4,8.77064783014943
7,8.4,9.46132136825662
8,7.8,6.69305293823835
9,7.4,11.6172592643954
10,7.6,10.6040071881658
11,7.2,11.9972685562162
12,3.2,9.3921972699439
13,4.8,10.4489381064383
14,7.6,10.2035322745838
15,7.0,15.2983005237798
16,6.8,7.98602075512759
17,4.9,13.1318384279703
18,5.8,29.3051368490163
19,5.7,16.8033118587173
20,9.6,8.99407229342999
21,6.2,24.9416366424848
22,9.6,9.4856221228047
23,4.5,16.245350714212
24,5.6,17.2952986792948
25,8.9,18.9515598780261
26,6.4,12.1506849559958
27,2.4,8.42850333396844
28,9.0,11.800730543929
29,0.0,10.8316734814589
30,8.2,30.2273652489952
31,4.5,19.2111043827037
32,4.9,13.0514568684142
33,8.1,7.93155751293761
34,1.5,25.2591641507334
35,6.9,20.02973921405
36,4.5,20.6187292250944
37,4.1,21.7623225932934
38,8.0,14.626575868454
39,5.7,14.2144569400675
40,4.6,27.5783760290121
41,0.0,30.4639419031183
42,1.1,10.6122063133483
43,7.9,18.409767273065
44,5.0,9.41004404347117
45,6.6,14.8665752575528
46,7.2,12.3355827456231
47,5.7,13.9537805610342
48,7.4,18.2966815014357
49,0.0,26.8740409040332
50,10.8,9.60328500201973
51,10.9,5.75862294533935
52,5.7,9.21492659849375
53,9.3,13.9207465063747
54,6.6,8.05883514011309
55,10.2,8.87897654317913
56,10.9,9.89273898659644
57,5.9,22.8187188111432
58,12.2,5.69865130292065
59,6.3,9.29929692382981
60,12.3,5.87307613742512
61,4.8,9.69083364498739
62,3.1,16.8896905338327
63,2.5,24.5417240425152
64,5.6,37.205757355589
65,5.8,22.3813451101775
66,6.8,8.55553329678112
67,6.0,5.58433424302104
68,3.7,14.9239436269809
69,11.9,5.47636371227295
70,6.4,9.2127998934204
71,14.4,7.23890832227685
72,9.7,9.89671371095077
73,4.4,5.68235944599892
74,9.4,10.6093749547342
75,9.9,13.5278999899642
76,3.2,8.47941695601299
